trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2003,False,"{'a': 0.3, 'e': 0.13492966074662985}",25,11,1.8813471873717973,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2004,False,"{'a': 0.3, 'e': 0.13479473108588322}",20,9,16.356117280894782,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2005,False,"{'a': 0.3, 'e': 0.1346599363547973}",20,2,13.9353674573077,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
2006,False,"{'a': 0.3, 'e': 0.13452527641844253}",20,3,17.645921932865487,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2007,False,"{'a': 0.3, 'e': 0.1343907511420241}",25,15,20.691014557678642,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2008,False,"{'a': 0.3, 'e': 0.13425636039088207}",20,8,20.164743252341655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2009,False,"{'a': 0.3, 'e': 0.13412210403049118}",20,13,-22.71886816228815,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
2010,False,"{'a': 0.3, 'e': 0.1339879819264607}",25,15,-13.570678118165642,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
2011,False,"{'a': 0.3, 'e': 0.13385399394453423}",30,24,13.560354605782486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2012,False,"{'a': 0.3, 'e': 0.13372013995058968}",20,12,13.890268235065049,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2013,False,"{'a': 0.3, 'e': 0.1335864198106391}",30,12,30.593906052785535,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2014,False,"{'a': 0.3, 'e': 0.13345283339082847}",20,10,17.79811093630371,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2015,False,"{'a': 0.3, 'e': 0.13331938055743764}",20,12,14.231167937828214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2016,False,"{'a': 0.3, 'e': 0.1331860611768802}",20,11,20.111214569682815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2017,False,"{'a': 0.3, 'e': 0.13305287511570332}",20,9,19.417792266057806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2018,False,"{'a': 0.3, 'e': 0.1329198222405876}",30,20,20.006744774915095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2019,False,"{'a': 0.3, 'e': 0.13278690241834704}",20,6,15.4761501219262,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
